type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,7640506.0,1,0.5059,-0.0513,0.8652,0.0,0.0,0.0,-3.44,-30.38,0.47,26.7,,,,,,,,,,,,,,,,
IMU,7684016.0,2,0.2515,0.4194,0.8682,-0.06,0.06,0.0,25.85,-14.45,-0.09,27.6,,,,,,,,,,,,,,,,
EXO,7726699,,,,,,,,,,,,SAFE,-12.074,0.061,0.996,1.286,0.023,0.009,0.0,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7740733.0,1,0.5078,-0.0513,0.8623,-0.06,0.0,0.0,-3.44,-30.37,0.47,26.7,,,,,,,,,,,,,,,,
IMU,7783939.0,2,0.2539,0.4194,0.8774,-0.06,-0.18,0.0,25.83,-14.45,-0.09,27.8,,,,,,,,,,,,,,,,
EXO,7826883,,,,,,,,,,,,SAFE,-12.074,-0.183,1.005,1.286,-0.038,0.009,0.0,0.009,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7840918.0,1,0.5063,-0.0518,0.8643,-0.12,0.18,0.0,-3.46,-30.35,0.47,26.7,,,,,,,,,,,,,,,,
IMU,7883901.0,2,0.2495,0.4194,0.8643,-0.55,-0.31,0.0,25.81,-14.45,-0.09,27.5,,,,,,,,,,,,,,,,
EXO,7926921,,,,,,,,,,,,SAFE,-12.079,-0.305,0.993,1.286,0.06,0.009,0.0,0.009,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7941058.0,1,0.5034,-0.0576,0.8711,0.0,-0.18,0.0,-3.49,-30.31,0.48,26.7,,,,,,,,,,,,,,,,
IMU,7983795.0,2,0.2495,0.4199,0.8647,-0.18,0.18,0.0,25.78,-14.46,-0.1,27.6,,,,,,,,,,,,,,,,
EXO,8026821,,,,,,,,,,,,SAFE,-12.09,0.183,0.993,1.286,-0.131,0.009,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8041220.0,1,0.5039,-0.0542,0.8613,0.0,-0.18,0.0,-3.5,-30.31,0.48,26.8,,,,,,,,,,,,,,,,
IMU,8083709.0,2,0.2476,0.4194,0.873,0.0,-0.18,0.0,25.77,-14.46,-0.09,27.6,,,,,,,,,,,,,,,,
