type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
EXO,7627293,,,,,,,,,,,,SAFE,-36.271,-5.92,1.017,0.88,-0.033,-0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7673978.0,1,0.0112,-0.9619,0.2485,6.84,4.58,2.87,-75.26,0.28,2.26,24.7,,,,,,,,,,,,,,,,
IMU,7652586.0,2,0.5796,-0.7666,0.2549,1.83,6.77,2.32,-72.49,-36.55,41.59,26.7,,,,,,,,,,,,,,,,
EXO,7726685,,,,,,,,,,,,SAFE,-36.552,6.775,0.994,0.88,-0.081,-0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7774165.0,1,-0.0063,-0.9658,0.2656,-2.01,1.95,-3.3,-74.94,0.35,1.86,24.9,,,,,,,,,,,,,,,,
IMU,7752506.0,2,0.6045,-0.7583,0.2446,-4.09,2.14,-1.46,-72.07,-36.25,40.89,26.6,,,,,,,,,,,,,,,,
EXO,7827108,,,,,,,,,,,,SAFE,-36.255,2.136,1.0,0.88,0.148,-0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7874337.0,1,-0.0093,-0.9722,0.2554,2.08,6.71,-1.77,-74.97,0.1,1.66,24.8,,,,,,,,,,,,,,,,
IMU,7852455.0,2,0.5767,-0.7837,0.2446,0.43,4.76,-2.08,-72.03,-36.56,40.73,26.7,,,,,,,,,,,,,,,,
EXO,7927069,,,,,,,,,,,,SAFE,-36.562,4.761,1.003,0.88,-0.017,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7974578.0,1,0.0039,-0.9678,0.2642,-2.5,8.91,-2.93,-74.89,0.13,0.76,24.9,,,,,,,,,,,,,,,,
IMU,7952376.0,2,0.5952,-0.7607,0.2119,-8.24,7.2,-1.77,-71.91,-36.5,39.81,26.6,,,,,,,,,,,,,,,,
EXO,8027050,,,,,,,,,,,,SAFE,-36.497,7.202,0.989,0.88,-0.046,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8074700.0,1,-0.0117,-0.9712,0.2681,-1.83,-0.55,-2.08,-75.26,-0.27,0.8,24.8,,,,,,,,,,,,,,,,
IMU,8052307.0,2,0.5864,-0.7734,0.2515,1.59,-5.62,-3.6,-72.26,-36.94,39.78,26.8,,,,,,,,,,,,,,,,
