type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,9458577.0,1,0.5913,-0.0293,0.7607,-28.2,37.41,44.01,-7.77,-45.06,-9.28,25.1,,,,,,,,,,,,,,,,
IMU,9450062.0,2,0.6602,0.1484,0.6655,-30.7,7.93,48.77,12.23,-40.9,20.22,26.9,,,,,,,,,,,,,,,,
EXO,9547345,,,,,,,,,,,,SAFE,-40.902,7.935,0.949,0.618,0.041,-0.0,0.0,0.0,-0.015,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9558741.0,1,0.7222,-0.1558,0.7363,-36.38,19.65,46.88,-13.58,-40.85,-4.55,25.1,,,,,,,,,,,,,,,,
IMU,9549955.0,2,0.667,0.0552,0.7734,-36.19,5.31,44.68,4.8,-39.84,25.86,26.9,,,,,,,,,,,,,,,,
EXO,9647466,,,,,,,,,,,,SAFE,-39.842,5.31,1.023,0.618,-0.046,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9659021.0,1,0.5693,-0.2749,0.6396,-26.18,10.25,50.78,-20.44,-38.88,1.82,25.3,,,,,,,,,,,,,,,,
IMU,9649903.0,2,0.6572,-0.0537,0.7754,-27.16,-2.93,50.23,-2.09,-40.96,32.24,26.9,,,,,,,,,,,,,,,,
EXO,9747520,,,,,,,,,,,,SAFE,-40.957,-2.93,1.018,0.619,0.042,-0.0,0.0,0.0,-0.009,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9759133.0,1,0.5376,-0.334,0.6904,-11.6,13.55,45.96,-25.2,-36.44,7.29,25.3,,,,,,,,,,,,,,,,
IMU,9749815.0,2,0.6528,-0.1333,0.7188,-18.49,3.36,44.31,-7.9,-40.9,38.49,26.8,,,,,,,,,,,,,,,,
EXO,9847441,,,,,,,,,,,,SAFE,-40.902,3.357,0.98,0.619,0.013,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9859302.0,1,0.4775,-0.3623,0.6768,-4.15,-3.48,33.57,-28.12,-33.79,10.93,25.2,,,,,,,,,,,,,,,,
IMU,9849753.0,2,0.6074,-0.1899,0.7754,-9.58,-3.6,40.71,-12.26,-39.79,43.18,26.9,,,,,,,,,,,,,,,,
EXO,9947643,,,,,,,,,,,,SAFE,-39.787,-3.601,1.003,0.619,-0.08,-0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9959487.0,1,0.5117,-0.3218,0.832,-5.19,32.23,31.43,-29.48,-30.98,13.58,25.2,,,,,,,,,,,,,,,,
IMU,9949716.0,2,0.5884,-0.1733,0.793,-10.74,24.84,36.62,-15.13,-37.95,47.04,26.8,,,,,,,,,,,,,,,,
EXO,10047620,,,,,,,,,,,,SAFE,-37.952,24.841,1.003,0.619,-0.001,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10059688.0,1,0.5,-0.48,0.7148,-15.62,10.31,41.02,-31.21,-27.13,16.07,25.2,,,,,,,,,,,,,,,,
IMU,10049620.0,2,0.6274,-0.2803,0.6929,-17.27,3.05,39.18,-18.82,-35.26,50.37,26.9,,,,,,,,,,,,,,,,
EXO,10147916,,,,,,,,,,,,SAFE,-35.261,3.052,0.976,0.62,0.138,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10159940.0,1,0.3105,-0.5796,0.7583,-17.4,24.84,29.36,-33.88,-23.79,18.44,25.1,,,,,,,,,,,,,,,,
IMU,10149573.0,2,0.5332,-0.4146,0.7256,-25.21,12.21,30.15,-22.79,-33.4,54.05,26.9,,,,,,,,,,,,,,,,
EXO,10247869,,,,,,,,,,,,SAFE,-33.398,12.207,0.991,0.62,-0.186,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10260051.0,1,0.3438,-0.5718,0.7583,-14.22,15.99,22.22,-35.99,-20.71,19.71,25.2,,,,,,,,,,,,,,,,
IMU,10249476.0,2,0.499,-0.415,0.7617,-17.21,9.28,20.81,-26.1,-31.31,56.2,26.8,,,,,,,,,,,,,,,,
EXO,10347962,,,,,,,,,,,,SAFE,-31.311,9.277,1.001,0.62,0.113,-0.0,0.0,0.0,-0.024,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10360237.0,1,0.3589,-0.5737,0.793,-28.87,-14.34,30.15,-38.62,-18.63,21.74,25.3,,,,,,,,,,,,,,,,
IMU,10349413.0,2,0.5083,-0.3936,0.8096,-16.66,-15.2,27.95,-29.1,-30.11,58.69,26.9,,,,,,,,,,,,,,,,
EXO,10448068,,,,,,,,,,,,SAFE,-30.114,-15.198,1.034,0.62,-0.08,-0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10460419.0,1,0.291,-0.6216,0.7168,-40.47,8.18,35.89,-42.37,-17.19,25.1,25.3,,,,,,,,,,,,,,,,
IMU,10449345.0,2,0.5088,-0.4688,0.6616,-36.44,-14.16,33.87,-33.55,-30.53,63.14,26.9,,,,,,,,,,,,,,,,
EXO,10547877,,,,,,,,,,,,SAFE,-30.531,-14.16,0.957,0.62,0.093,-0.0,0.0,0.0,-0.022,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10560614.0,1,0.1792,-0.7329,0.5723,-52.06,-37.78,31.62,-48.06,-15.58,28.6,25.3,,,,,,,,,,,,,,,,
IMU,10549282.0,2,0.4868,-0.6157,0.6953,-37.17,-50.66,29.36,-40.08,-30.9,68.13,27.0,,,,,,,,,,,,,,,,
EXO,10648072,,,,,,,,,,,,SAFE,-30.905,-50.659,1.049,0.62,-0.167,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10660835.0,1,0.2031,-0.8081,0.5405,-46.57,-70.86,28.81,-54.86,-17.14,36.19,25.4,,,,,,,,,,,,,,,,
IMU,10649221.0,2,0.4985,-0.6646,0.5747,-8.97,-90.27,25.45,-46.71,-34.48,76.89,26.9,,,,,,,,,,,,,,,,
EXO,10747946,,,,,,,,,,,,SAFE,-34.481,-90.271,1.01,0.621,-0.048,-0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10760963.0,1,0.2217,-0.8574,0.5225,-17.4,37.23,26.79,-58.42,-15.18,38.62,25.3,,,,,,,,,,,,,,,,
