type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,7719026.0,1,0.6538,-0.0264,0.7607,0.0,0.0,0.0,-1.97,-40.67,52.59,26.1,,,,,,,,,,,,,,,,
IMU,7681733.0,2,0.4058,0.4824,0.7715,0.0,0.18,0.0,31.94,-24.01,10.33,27.9,,,,,,,,,,,,,,,,
EXO,7721647,,,,,,,,,,,,SAFE,-24.011,0.183,0.996,1.093,-0.011,-0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7719026.0,1,0.6538,-0.0264,0.7607,0.0,0.0,0.0,-1.97,-40.67,52.59,26.1,,,,,,,,,,,,,,,,
IMU,7781665.0,2,0.4062,0.4814,0.7734,-0.12,0.0,0.0,31.94,-24.01,10.34,27.7,,,,,,,,,,,,,,,,
EXO,7821751,,,,,,,,,,,,SAFE,-24.011,0.0,0.998,1.092,-0.15,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7819276.0,1,0.6558,-0.0254,0.7583,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,7881587.0,2,0.4106,0.4839,0.7729,0.0,0.12,0.0,31.94,-24.01,10.34,27.8,,,,,,,,,,,,,,,,
EXO,7921772,,,,,,,,,,,,SAFE,-24.011,0.122,1.0,1.093,0.07,-0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7919618.0,1,0.6538,-0.0254,0.7603,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,7981431.0,2,0.4102,0.4844,0.7778,0.0,0.0,0.0,31.94,-24.01,10.34,27.7,,,,,,,,,,,,,,,,
EXO,8021666,,,,,,,,,,,,SAFE,-24.005,0.0,1.004,1.093,0.068,-0.0,0.0,0.0,-0.012,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8019670.0,1,0.6538,-0.0259,0.7583,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,8081401.0,2,0.4082,0.4829,0.771,-0.06,0.0,0.0,31.93,-24.01,10.34,27.7,,,,,,,,,,,,,,,,
EXO,8121729,,,,,,,,,,,,SAFE,-24.005,0.0,0.997,1.092,0.037,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8119830.0,1,0.6538,-0.0264,0.7607,0.0,0.0,0.0,-1.97,-40.67,52.59,26.1,,,,,,,,,,,,,,,,
IMU,8181349.0,2,0.4072,0.4824,0.7739,0.0,0.06,0.0,31.93,-24.01,10.34,27.6,,,,,,,,,,,,,,,,
EXO,8221656,,,,,,,,,,,,SAFE,-24.011,0.061,0.999,1.092,-0.026,-0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8220009.0,1,0.6514,-0.0273,0.7622,0.0,0.0,0.0,-1.97,-40.67,52.59,25.9,,,,,,,,,,,,,,,,
IMU,8281240.0,2,0.4077,0.481,0.7788,-0.06,0.0,0.0,31.93,-24.01,10.34,27.7,,,,,,,,,,,,,,,,
EXO,8321742,,,,,,,,,,,,SAFE,-24.005,0.0,1.002,1.092,-0.019,-0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8320178.0,1,0.6528,-0.0273,0.7627,0.0,0.0,0.0,-1.97,-40.67,52.59,26.1,,,,,,,,,,,,,,,,
IMU,8381165.0,2,0.4048,0.4819,0.7729,0.0,0.0,0.0,31.93,-24.01,10.34,27.7,,,,,,,,,,,,,,,,
EXO,8421695,,,,,,,,,,,,SAFE,-24.011,0.0,0.997,1.093,0.033,-0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8420362.0,1,0.6519,-0.0259,0.7603,0.0,0.0,0.0,-1.97,-40.67,52.59,26.1,,,,,,,,,,,,,,,,
IMU,8481027.0,2,0.4067,0.4834,0.7734,0.0,0.0,0.0,31.93,-24.01,10.34,27.7,,,,,,,,,,,,,,,,
EXO,8521674,,,,,,,,,,,,SAFE,-24.005,0.0,0.999,1.092,0.052,-0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8520537.0,1,0.6553,-0.0264,0.7559,0.0,0.0,0.0,-1.97,-40.67,52.59,26.1,,,,,,,,,,,,,,,,
IMU,8580943.0,2,0.4058,0.4819,0.7744,0.0,0.0,0.0,31.93,-24.01,10.34,27.7,,,,,,,,,,,,,,,,
EXO,8621667,,,,,,,,,,,,SAFE,-24.005,0.0,0.998,1.092,0.095,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8620719.0,1,0.6543,-0.0254,0.7612,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,8680922.0,2,0.4062,0.4819,0.7754,0.0,-0.06,0.0,31.93,-24.01,10.35,27.9,,,,,,,,,,,,,,,,
EXO,8721774,,,,,,,,,,,,SAFE,-24.005,-0.061,0.999,1.093,-0.079,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8720936.0,1,0.6548,-0.0269,0.7612,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,8780807.0,2,0.4102,0.4834,0.7739,0.0,0.0,0.0,31.93,-24.01,10.35,27.8,,,,,,,,,,,,,,,,
EXO,8821693,,,,,,,,,,,,SAFE,-24.005,0.0,1.0,1.092,-0.023,-0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8821084.0,1,0.6562,-0.0244,0.7617,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,8880788.0,2,0.4082,0.4834,0.7749,-0.06,0.06,0.0,31.93,-24.01,10.35,27.6,,,,,,,,,,,,,,,,
EXO,8921887,,,,,,,,,,,,SAFE,-24.005,0.061,1.0,1.093,0.03,-0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8921287.0,1,0.6533,-0.0269,0.7593,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,8980672.0,2,0.4087,0.4839,0.7725,-0.06,0.0,0.0,31.93,-24.01,10.35,27.6,,,,,,,,,,,,,,,,
EXO,9021739,,,,,,,,,,,,SAFE,-24.011,0.0,0.999,1.093,-0.123,-0.0,0.0,0.0,-0.014,0.0,0.0,0.0,0.0,0.0,0.0
IMU,9021479.0,1,0.6553,-0.0254,0.7598,0.0,0.0,0.0,-1.97,-40.67,52.59,25.9,,,,,,,,,,,,,,,,
